"x";"y";"z"
2;-1,51;1,08
2,75;-1,42;2,33
1,82;-0,31;0,7
1,99;0,23;1,01
4,75;-1,26;0,85
2,73;1,68;2,03
0,96;-0,31;2,78
1,89;-1,6;1,83
2,55;-0,59;2,32
2,1;-0,47;1,29
1,64;-0,49;0,87
3,28;0,14;0,14
0,83;-0,6;0,47
2,57;-0,57;0,7
4,92;-0,65;0,43
2,81;0,21;1,33
4,36;-0,38;0,46
1,89;0,1;2,2
1,25;-0,19;2,07
2,28;0,71;0,08
3,93;0,13;2,56
3,11;-1,01;0,54
2,34;0,44;1,88
2,12;-0,07;2,43
3,4;-1,04;1,32
2,91;0,39;1,18
1,48;-0,48;0,3
3,18;0,44;2,96
2,68;0,78;1,77
1,39;-1,38;2,15
3,07;-0,15;0,02
1,89;-0,1;2,11
0,81;-0,57;1,41
1,82;1,33;0,29
0,62;1,32;1,52
0,64;-0,23;2,07
1,24;-0,52;1,57
4,26;-0,8;0,16
2,85;1,12;1
0,69;-1,19;1,23
2,37;0,48;2,81
4,96;2,21;0,14
1,82;-1,23;0,81
1,6;-0,32;0,44
2,9;-0,86;0,4
2,99;0,71;1,78
6,76;2,34;1,53
3,12;0,15;1,65
2,47;-2,42;2,95
1,82;0,13;2,38
6,07;-1,98;2,91
4,03;-0,94;2,85
1,19;-1,67;0,68
3,34;0,98;1,45
1,89;-0,17;2,33
2,42;-0,33;0,87
1,95;0,96;0,58
2,35;1,48;2,45
2,82;0,22;1,27
4,72;1,34;2,19
1,34;2,06;0,95
2,15;-0,73;0,54
2,14;0,33;1,65
5,12;1,35;2,32
1,69;-0,37;0,94
2,43;1,03;0,98
2,12;-0,43;2,82
3;-0,68;1,59
0,69;0,85;1,6
2,36;-1,35;2,45
2,51;-0,74;2,18
0,96;1,63;0,16
2,72;-0,78;1,84
1,48;1,29;1,45
1,26;0,45;0,39
1,87;0,07;2,77
2,34;-0,31;2,37
2,95;1,45;1,77
2,51;0;1,16
2,04;-1,67;0,81
1,42;-0,28;0,01
2,62;1,24;1,34
2,88;0,26;1,96
1,33;-1,06;0,31
2,36;0,58;1,41
4,62;1,42;2,71
2,55;0,18;0,99
2,06;0,19;2,17
2,8;0,15;0,35
1,2;-0,34;0,17
3,06;1,17;2,09
1,75;-2,53;2,36
3,17;-1,17;0,02
5,27;0,54;2,29
1,76;0,17;2,54
3,33;0,88;1,25
0,9;0,13;0,35
2,23;-0,58;0,67
1,7;0,79;1,41
2,93;-0,98;0,19
